ANNO_REPORTADO,MES_DEL_ANNO,NIT,NOMBRE,ID_MUNICIPIO,MUNICIPIO,TOTAL_ASOCIADOS,INGRESOS_BRUTOS,INGRESO_PAUTA_PUBLICITARIA,VALOR_APORTE_MENSUAL,TARIFA_POR_INSTALACION,NUM_ENVIO
2020,1,900137741,ASOCIACION CABLE CIMA TV,11001,"BOGOTÁ, D.C.",353,10590000,0,30000,30000,219823
2020,1,811009220,ASOCIACION ANTENA PARABOLICA CIUDAD BOLIVAR APACIBOL,5101,CIUDAD BOLÍVAR,2198,62139343,125000,27000,43400,219042
2020,1,900000135,ASOC.USUARIOS TV SATELITE MIRAFLORES,15455,MIRAFLORES,820,13120000,0,16000,70000,217880
2020,1,900028671,ASOCIACION DE TELEVIDENTES DE GUACHETA,25317,GUACHETÁ,1068,47098000,0,18000,180000,220277
2020,1,900319058,ASOCIACION COMUNITARIA PARABOLICA GRANADA,5313,GRANADA,570,9788000,0,16000,160000,220027
2020,1,832005664,ASOCIACION DE COPROPIETARIOS DE LA ANTENA PARABOLICA DE GACHANCIPA,25295,GACHANCIPÁ,1000,26066000,0,17000,80000,220236
2020,1,811015974,ASOCIACION CIVICA LA SIERRA ACISIERRA,5585,PUERTO NARE,564,10699600,0,17000,30000,219588
2020,1,800240299,ASOCIACION POR RECREACION Y CULTURA DE ZIPAQUIRA APRECUZ,25899,ZIPAQUIRÁ,797,16543000,0,19900,70000,218411
2020,1,900032684,ASOCIACION DE TELEVIDENTES DE SAN MIGUEL ASOTELMI,86757,SAN MIGUEL,224,3360000,0,15000,30000,219818
2020,1,811010541,ASOCIACION DE USUARIOS DE LA ANTENA PARABOLICA DE SALGAR,5642,SALGAR,1540,30554665,0,20000,50000,219668
2020,1,800178686,ASOCIACION DE TELEVISION COMUNITARIA DE ANDES AUPAN,5034,ANDES,3517,76114500,6781000,21000,30000,219465
2020,1,811023697,ASOCIACION ANTENA PARABOLICA EL SALADO,5001,MEDELLÍN,996,23155000,0,21000,37000,219194
2020,1,832007607,ASOCIACION DE COPROPIETARIOS DEL SISTEMA DE TELECOMUNICACIONES VILLAPINZON,25873,VILLAPINZÓN,1479,32349200,150000,16000,100000,219402
2020,1,800249252,CORPORACION ANTENA PARABOLICA QUINCHIA,66594,QUINCHÍA,486,9731700,0,22500,15000,219351
2020,1,801000586,ZULDEMAYDA COMUNICACIONES,63001,ARMENIA,466,11661400,0,22000,22000,219299
2020,1,800235260,CORPORACION ANTENA PARABOLICA DE GUATAPE CORPAGUA,5321,GUATAPE,1402,33948356,250000,24000,50000,219671
2020,1,821002582,ASOCIACION DE COPROPIETARIOS DE TELEVISION COMUNITARIA DE LA UNION - VALLE UNITV,76400,LA UNIÓN,1722,32718000,0,19000,0,219298
2020,1,811031168,ASOCIACION ANTENA PARABOLICA AMAGA,5030,AMAGÁ,2580,63926800,943000,23000,60000,218671
2020,1,900280909,ASOCIACION DE TELEVISION COMUNITARIA LABOYANA,41551,PITALITO,996,16932000,0,17000,30000,220139
2020,1,811039600,ASOCIACION ANTENA PARABOLICA COMUNITARIA VISION ABIBE ANVIABIBE,5665,SAN PEDRO DE URABA,506,10120000,0,20000,15000,219822
